name	exit_code	elapsed_seconds	started_utc	finished_utc	log	command
standalone	0	264.258274	2026-08-13T01:34:39.687	2026-08-13T01:39:03.925	logs/standalone.log	/Users/praneethmerugu/.julia/juliaup/julia-1.12.6+0.aarch64.apple.darwin14/bin/julia -C native -J/Users/praneethmerugu/.julia/juliaup/julia-1.12.6+0.aarch64.apple.darwin14/lib/julia/sys.dylib -g1 --startup-file=no --project=lib/LocalWorksets -e 'using Pkg; Pkg.test()'
corepotts	0	265.997973333	2026-08-13T01:39:03.972	2026-08-13T01:43:29.963	logs/corepotts.log	/Users/praneethmerugu/.julia/juliaup/julia-1.12.6+0.aarch64.apple.darwin14/bin/julia -C native -J/Users/praneethmerugu/.julia/juliaup/julia-1.12.6+0.aarch64.apple.darwin14/lib/julia/sys.dylib -g1 --startup-file=no --project=lib/CorePotts -e 'using Pkg; Pkg.test()'
root	0	1147.710031125	2026-08-13T01:43:29.964	2026-08-13T02:02:37.645	logs/root.log	/Users/praneethmerugu/.julia/juliaup/julia-1.12.6+0.aarch64.apple.darwin14/bin/julia -C native -J/Users/praneethmerugu/.julia/juliaup/julia-1.12.6+0.aarch64.apple.darwin14/lib/julia/sys.dylib -g1 --startup-file=no --project=. -e 'using Pkg; Pkg.test()'
cpu-witnesses	0	29.659430334	2026-08-13T02:02:37.646	2026-08-13T02:03:07.381	logs/cpu-witnesses.log	LW4_MACHINE_RESULTS='/Users/praneethmerugu/Documents/Jiang/CPM 1.6/Potts.jl/design/hardening/lw4-final-qualification-bundle/results/cpu-witnesses.jls' /Users/praneethmerugu/.julia/juliaup/julia-1.12.6+0.aarch64.apple.darwin14/bin/julia -C native -J/Users/praneethmerugu/.julia/juliaup/julia-1.12.6+0.aarch64.apple.darwin14/lib/julia/sys.dylib -g1 --startup-file=no --project=test/localworksets_witnesses test/localworksets_witnesses/runtests.jl
cpu-performance	0	116.500350292	2026-08-13T02:03:07.381	2026-08-13T02:05:03.881	logs/cpu-performance.log	LW4_MACHINE_RESULTS='/Users/praneethmerugu/Documents/Jiang/CPM 1.6/Potts.jl/design/hardening/lw4-final-qualification-bundle/results/cpu-performance.jls' LW4_PERF_SAMPLES=1000 /Users/praneethmerugu/.julia/juliaup/julia-1.12.6+0.aarch64.apple.darwin14/bin/julia -C native -J/Users/praneethmerugu/.julia/juliaup/julia-1.12.6+0.aarch64.apple.darwin14/lib/julia/sys.dylib -g1 --startup-file=no --project=test/localworksets_witnesses test/localworksets_witnesses/performance.jl
metal	0	1072.134224833	2026-08-13T02:05:03.882	2026-08-13T02:22:56.012	logs/metal.log	LW4_MACHINE_RESULTS='/Users/praneethmerugu/Documents/Jiang/CPM 1.6/Potts.jl/design/hardening/lw4-final-qualification-bundle/results/metal.jls' LW4_PERF_SAMPLES=1000 /Users/praneethmerugu/.julia/juliaup/julia-1.12.6+0.aarch64.apple.darwin14/bin/julia -C native -J/Users/praneethmerugu/.julia/juliaup/julia-1.12.6+0.aarch64.apple.darwin14/lib/julia/sys.dylib -g1 --startup-file=no --project=benchmark/backends/metal benchmark/backends/metal/runtests.jl
